name,layer_info,input,out,dot,add,compare,ops,weight_size,activation_size
features.denseblock3.denselayer7.branch2c.norm,None,"[1, 16, 14, 14]","[1, 16, 14, 14]",3136,3136,0,6272,0,3136
features.denseblock3.denselayer8.branch1a.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=64","[1, 480, 14, 14]","[1, 64, 14, 14]",6021120,6021120,0,12042240,30720,12544
features.denseblock3.denselayer8.branch1a.norm,None,"[1, 64, 14, 14]","[1, 64, 14, 14]",12544,12544,0,25088,0,12544
features.denseblock3.denselayer8.branch1b.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 64, 14, 14]","[1, 16, 14, 14]",1806336,1806336,0,3612672,9216,3136
features.denseblock3.denselayer8.branch1b.norm,None,"[1, 16, 14, 14]","[1, 16, 14, 14]",3136,3136,0,6272,0,3136
features.denseblock3.denselayer8.branch2a.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=64","[1, 480, 14, 14]","[1, 64, 14, 14]",6021120,6021120,0,12042240,30720,12544
features.denseblock3.denselayer8.branch2a.norm,None,"[1, 64, 14, 14]","[1, 64, 14, 14]",12544,12544,0,25088,0,12544
features.denseblock3.denselayer8.branch2b.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 64, 14, 14]","[1, 16, 14, 14]",1806336,1806336,0,3612672,9216,3136
features.denseblock3.denselayer8.branch2b.norm,None,"[1, 16, 14, 14]","[1, 16, 14, 14]",3136,3136,0,6272,0,3136
features.denseblock3.denselayer8.branch2c.conv,"kernel=3x3,stride=1x1,pad=1x1,num_out=16","[1, 16, 14, 14]","[1, 16, 14, 14]",451584,451584,0,903168,2304,3136
features.denseblock3.denselayer8.branch2c.norm,None,"[1, 16, 14, 14]","[1, 16, 14, 14]",3136,3136,0,6272,0,3136
features.transition3.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=512","[1, 512, 14, 14]","[1, 512, 14, 14]",51380224,51380224,0,102760448,262144,100352
features.transition3.norm,None,"[1, 512, 14, 14]","[1, 512, 14, 14]",100352,100352,0,200704,0,100352
features.transition3_pool,"kernel=2x2,stride=2x2,pad=0x0,type=avg","[1, 512, 14, 14]","[1, 512, 7, 7]",25088,100352,0,125440,0,25088
features.denseblock4.denselayer1.branch1a.conv,"kernel=1x1,stride=1x1,pad=0x0,num_out=64","[1, 512, 7, 7]","[1, 64, 7, 7]",1605632,1605632,0,3211264,32768,3136
features.denseblock4.denselayer1.branch1a.norm,None,"[1, 64, 7, 7]","[1, 64, 7, 7]",3136,3136,0,6272,0,3136
